ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10000205,HY190141,03/18/2015 05:30:00 PM,057XX S INDIANA AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0232,002,20,40,07,1178578,1867009,2015,02/10/2018 03:50:01 PM,41.790376197,-87.620736031,"(41.790376197, -87.620736031)"
10000207,HY189272,03/18/2015 12:20:00 PM,077XX S OGLESBY AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0414,004,7,43,08B,1193210,1854136,2015,02/10/2018 03:50:01 PM,41.754706432,-87.567505523,"(41.754706432, -87.567505523)"
10000208,HY190156,03/19/2015 05:30:00 AM,048XX S KEDVALE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0815,008,14,57,08B,1149512,1872176,2015,02/10/2018 03:50:01 PM,41.805166896,-87.727180679,"(41.805166896, -87.727180679)"
10000209,HY189415,03/17/2015 12:00:00 PM,014XX W 77TH ST,0810,THEFT,OVER $500,RESIDENCE,false,false,0612,006,17,71,06,1168120,1853688,2015,02/10/2018 03:50:01 PM,41.754053145,-87.659465414,"(41.754053145, -87.659465414)"
10000211,HY189397,03/18/2015 01:45:00 PM,017XX N ASHLAND AVE,0560,ASSAULT,SIMPLE,OTHER,false,false,1433,014,32,24,08A,1165406,1911675,2015,02/10/2018 03:50:01 PM,41.913233349,-87.66776484,"(41.913233349, -87.66776484)"
10000212,HY189315,03/18/2015 12:50:00 PM,015XX W 80TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0612,006,21,71,08B,1167549,1851682,2015,02/10/2018 03:50:01 PM,41.748560656,-87.661615335,"(41.748560656, -87.661615335)"
11223130,JB141391,02/04/2018 10:49:00 PM,085XX S KINGSTON AVE,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,RESIDENCE,true,false,0423,004,7,46,08B,1194648,1848849,2018,02/11/2018 03:57:41 PM,41.740163232,-87.562409376,"(41.740163232, -87.562409376)"
10000216,HY189182,03/17/2015 07:30:00 PM,033XX W FULLERTON AVE,0810,THEFT,OVER $500,SIDEWALK,false,false,1413,014,35,22,06,1153474,1915753,2015,02/10/2018 03:50:01 PM,41.924669446,-87.711491883,"(41.924669446, -87.711491883)"
10000219,HY190166,03/18/2015 07:00:00 PM,009XX S WABASH AVE,0810,THEFT,OVER $500,PARKING LOT/GARAGE(NON.RESID.),false,false,0123,001,2,32,06,1176929,1896154,2015,02/10/2018 03:50:01 PM,41.870389764,-87.625902397,"(41.870389764, -87.625902397)"
10000220,HY190152,03/19/2015 05:00:00 AM,036XX W 60TH PL,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0823,008,13,65,07,1153203,1864251,2015,02/10/2018 03:50:01 PM,41.783347308,-87.713852929,"(41.783347308, -87.713852929)"
10000227,HY190155,03/19/2015 04:52:00 AM,035XX S WASHTENAW AVE,0650,BURGLARY,HOME INVASION,APARTMENT,false,false,0911,009,12,58,05,1158945,1880891,2015,02/10/2018 03:50:01 PM,41.828894171,-87.692345655,"(41.828894171, -87.692345655)"
10000233,HY189165,03/18/2015 10:45:00 AM,042XX W MADISON ST,0460,BATTERY,SIMPLE,SMALL RETAIL STORE,false,false,1115,011,28,26,08B,1148070,1899674,2015,02/10/2018 03:50:01 PM,41.88065283,-87.731763004,"(41.88065283, -87.731763004)"
10000234,HY190158,03/19/2015 05:50:00 AM,033XX W MAYPOLE AVE,0820,THEFT,$500 AND UNDER,NURSING HOME/RETIREMENT HOME,false,false,1123,011,28,27,06,1154061,1900783,2015,02/10/2018 03:50:01 PM,41.883578698,-87.709734846,"(41.883578698, -87.709734846)"
